lat,lng,cleanRent,cleanBeds,listingDate
47.72828,-122.34764,1735.0,2.0,2016-10-04
47.61404,-122.34349,1415.0,0.0,2016-10-04
47.66506,-122.37869,1390.0,0.0,2016-10-04
47.66301,-122.32338,1815.0,1.0,2016-10-04
47.61283,-122.318,3180.0,0.0,2016-10-04
47.61112,-122.32344,1400.0,0.0,2016-10-04
47.61112,-122.32344,2500.0,2.0,2016-10-04
47.60532,-122.31801,1595.0,1.0,2016-10-04
47.62055,-122.29865,2095.0,2.0,2016-10-04
47.62338,-122.32102,1601.0,0.0,2016-10-04
47.72828,-122.34764,1710.0,2.0,2016-10-04
47.60725,-122.30387,2500.0,2.0,2016-10-04
47.61676,-122.34622,1850.0,1.0,2016-10-04
47.619175,-122.338449,2697.0,1.0,2016-10-21
47.619175,-122.338449,4328.0,2.0,2016-10-21
47.619175,-122.338449,2443.0,1.0,2016-10-21
47.619175,-122.338449,4173.0,2.0,2016-10-21
47.577276,-122.408109,3800.0,3.0,2016-10-21
47.587623,-122.312672,3800.0,3.0,2016-10-21
47.599225,-122.328914,2550.0,2.0,2016-10-21
47.617328,-122.343789,1750.0,1.0,2016-10-21
47.617257,-122.341526,1950.0,1.0,2016-10-21
47.622281,-122.330381,1668.0,0.0,2016-10-21
47.599225,-122.328914,1649.0,1.0,2016-10-21
47.682043,-122.26372,1495.0,1.0,2016-10-21
47.624562,-122.357254,2014.0,1.0,2016-10-21
47.648071,-122.335745,1955.0,1.0,2016-10-21
47.617188,-122.341509,4795.0,2.0,2016-10-21
47.668631,-122.377583,2066.0,,2016-10-21
47.676169,-122.301644,2650.0,2.0,2016-10-21
47.646933,-122.357996,1775.0,2.0,2016-10-21
47.648071,-122.335745,2025.0,1.0,2016-10-21
47.615346,-122.351279,4229.0,2.0,2016-10-21
47.648071,-122.335745,2105.0,1.0,2016-10-21
47.617027,-122.352623,2899.0,2.0,2016-10-21
47.597502,-122.327331,2610.0,2.0,2016-10-21
47.674335,-122.278327,2880.0,4.0,2016-10-21
47.668631,-122.377583,2499.0,2.0,2016-10-21
47.613332,-122.323348,1299.0,1.0,2016-10-21
47.561777,-122.388207,1299.0,0.0,2016-10-21
47.56201,-122.381505,2665.0,2.0,2016-10-21
47.48808,-122.261181,1250.0,2.0,2016-10-21
47.48808,-122.261181,1115.0,1.0,2016-10-21
47.561777,-122.388207,1409.0,0.0,2016-10-21
47.412124,-122.255806,1800.0,0.0,2016-10-21
47.596543,-122.298777,3900.0,2.0,2016-10-21
47.59762,-122.28711,2014.0,1.0,2016-10-21
47.68052,-122.32418,1715.0,1.0,2016-10-21
47.50311,-122.33656,1415.0,2.0,2016-10-21
47.47815,-122.34888,1335.0,2.0,2016-10-21
47.717,-122.3015,2575.0,5.0,2016-10-21
47.57275,-122.28696,1750.0,2.0,2016-10-21
47.6633,-122.3022,1250.0,1.0,2016-10-21
47.62814,-122.35659,2250.0,2.0,2016-10-21
47.62322,-122.32525,1060.0,0.0,2016-10-21
47.61897,-122.31551,900.0,0.0,2016-10-21
47.61516,-122.31802,1970.0,1.0,2016-10-21
47.50311,-122.33656,1230.0,1.0,2016-10-21
47.63325,-122.32501,1795.0,1.0,2016-10-21
47.49178,-122.35005,1200.0,1.0,2016-10-21
47.56025,-122.3829,2065.0,1.0,2016-10-21
47.65958,-122.34717,1850.0,2.0,2016-10-21
47.70531,-122.34324,1650.0,2.0,2016-10-21
47.49178,-122.35005,1415.0,2.0,2016-10-21
47.6342,-122.3404,1425.0,1.0,2016-10-21
47.6041,-122.31848,2700.0,2.0,2016-10-21
47.49178,-122.35005,1415.0,2.0,2016-10-21
47.57502,-122.38828,2229.0,2.0,2016-10-21
47.65417,-122.34232,1623.0,0.0,2016-10-21
47.61542,-122.32671,1675.0,1.0,2016-10-21
47.6302,-122.321,1000.0,0.0,2016-10-21
47.653381,-122.390081,1700.0,1.0,2016-10-21
